=====BEGIN_FOREST=====
x: 66	y: 119
x: 495	y: 129
x: 506	y: 476
x: 216	y: 645
x: 779	y: 170
x: 1158	y: 187
x: 1536	y: 273
x: 1817	y: 428
x: 2310	y: 121
x: 2810	y: 32
x: 2917	y: 297
x: 2741	y: 548
x: 2263	y: 428
x: 1707	y: 700
x: 1400	y: 683
x: 1063	y: 454
x: 762	y: 421
x: 426	y: 754
x: 159	y: 870
x: 140	y: 1197
x: 269	y: 1384
x: 257	y: 1826
x: 142	y: 2103
x: 196	y: 2432
x: 245	y: 2820
x: 231	y: 3132
x: 325	y: 3368
x: 207	y: 3721
x: 369	y: 3888
x: 740	y: 3926
x: 1199	y: 3831
x: 1677	y: 3770
x: 1853	y: 3884
x: 2241	y: 3645
x: 2723	y: 3493
x: 2975	y: 3384
x: 2865	y: 2995
x: 2597	y: 3012
x: 2296	y: 3153
x: 2022	y: 3030
x: 1537	y: 2982
x: 1365	y: 3160
x: 823	y: 3208
x: 653	y: 2837
x: 1091	y: 2823
x: 1647	y: 2590
x: 2119	y: 2541
x: 2595	y: 2494
x: 2553	y: 1987
x: 2244	y: 2014
x: 1883	y: 2014
x: 1472	y: 2014
x: 1242	y: 2186
x: 986	y: 2337
x: 579	y: 2211
x: 457	y: 1900
x: 871	y: 1801
x: 1307	y: 1586
x: 1692	y: 1470
x: 2141	y: 1494
x: 2602	y: 1603
x: 2912	y: 1901
x: 2921	y: 1220
x: 2484	y: 1056
x: 1882	y: 795
x: 1473	y: 930
x: 1078	y: 1073
x: 684	y: 1072
x: 633	y: 1294
x: 849	y: 645
x: 2320	y: 587
=====END_FOREST=====
